1	1	item00037	5038	2
1	2	item00206	7138	3
1	3	item00293	4972	2
1	4	item00066	6066	4
1	5	item00115	6083	3
1	6	item00231	7132	6
1	7	item00202	6088	2
2	1	item00242	7974	6
2	2	item00201	5978	3
2	3	item00246	6084	4
2	4	item00051	6088	8
3	1	item00212	6088	1
3	2	item00129	6088	3
3	3	item00275	5972	4
3	4	item00179	3988	2
3	5	item00110	6082	7
3	6	item00139	5038	4
3	7	item00195	6088	3
3	8	item00013	5038	1
4	1	item00086	6000	1
4	2	item00254	6974	4
4	3	item00256	9234	1
4	4	item00280	7134	1
4	5	item00232	6081	8
4	6	item00261	6082	1
5	1	item00197	6088	5
6	1	item00061	3988	3
6	2	item00238	6089	4
6	3	item00012	6488	1
6	4	item00255	7134	1
6	5	item00043	7138	3
6	6	item00162	3798	8
7	1	item00285	5032	4
8	1	item00197	6088	4
8	2	item00224	6081	3
8	3	item00029	6088	2
8	4	item00032	6088	7
8	5	item00180	5798	9
8	6	item00021	6088	9
8	7	item00075	7138	1
8	8	item00087	7334	4
8	9	item00216	5038	5
9	1	item00264	7332	9
9	2	item00261	6082	5
9	3	item00029	6088	9
10	1	item00178	3988	7
10	2	item00255	7134	9
10	3	item00186	6798	3
10	4	item00179	3988	1
10	5	item00116	6082	8
10	6	item00051	6088	1
10	7	item00157	6088	1
10	8	item00006	5798	1
11	1	item00226	7327	1
11	2	item00181	6088	7
12	1	item00100	5033	9
13	1	item00023	6088	4
13	2	item00234	4798	6
13	3	item00171	7138	1
13	4	item00222	5798	4
13	5	item00079	5038	6
13	6	item00022	7100	9
13	7	item00196	6798	9
13	8	item00145	3988	7
14	1	item00175	5038	4
14	2	item00107	6798	5
14	3	item00161	9238	9
14	4	item00257	7134	9
14	5	item00045	7138	4
14	6	item00005	6088	1
15	1	item00266	6082	3
15	2	item00226	7327	1
15	3	item00253	3794	3
15	4	item00047	5038	9
15	5	item00078	7978	1
15	6	item00242	7974	8
15	7	item00265	5792	9
15	8	item00272	6082	2
16	1	item00095	8798	3
17	1	item00205	9798	1
18	1	item00153	5038	8
18	2	item00277	6082	8
18	3	item00237	7338	1
18	4	item00025	5038	6
19	1	item00226	7327	1
19	2	item00209	3988	5
19	3	item00265	5792	9
19	4	item00006	5798	3
19	5	item00154	6088	9
19	6	item00271	7132	8
19	7	item00095	8798	5
20	1	item00274	6082	9
20	2	item00037	5038	5
21	1	item00079	5038	3
21	2	item00174	7138	1
21	3	item00101	7135	1
21	4	item00236	6089	4
21	5	item00152	6277	2
21	6	item00049	7138	9
21	7	item00259	5032	2
21	8	item00116	6082	4
21	9	item00095	8798	1
22	1	item00063	5798	7
23	1	item00079	5038	5
23	2	item00175	5038	1
24	1	item00041	4798	9
24	2	item00119	7138	4
25	1	item00131	7138	1
25	2	item00187	6088	9
25	3	item00123	6088	2
25	4	item00276	6086	6
25	5	item00200	5038	2
25	6	item00190	6088	7
25	7	item00213	5038	2
25	8	item00280	7134	1
26	1	item00065	6188	1
26	2	item00139	5038	7
26	3	item00204	5798	1
26	4	item00282	4794	8
26	5	item00286	3982	1
26	6	item00003	6798	5
26	7	item00127	6088	1
26	8	item00250	6084	1
26	9	item00069	5798	6
27	1	item00001	4798	1
27	2	item00241	7135	6
27	3	item00107	6798	4
27	4	item00025	5038	3
27	5	item00119	7138	6
27	6	item00059	6088	3
27	7	item00061	3988	1
27	8	item00124	5983	5
27	9	item00159	5038	6
28	1	item00145	3988	1
28	2	item00083	6088	8
28	3	item00169	7138	3
29	1	item00194	6088	6
30	1	item00117	6081	7
31	1	item00218	6082	3
31	2	item00062	7138	5
31	3	item00051	6088	2
31	4	item00267	6082	4
31	5	item00236	6089	1
31	6	item00157	6088	3
32	1	item00028	6766	6
32	2	item00005	6088	9
32	3	item00231	7132	1
33	1	item00032	6088	5
34	1	item00212	6088	1
34	2	item00130	5498	5
34	3	item00113	6088	9
34	4	item00070	6277	1
34	5	item00272	6082	2
34	6	item00058	5038	8
35	1	item00077	6111	1
35	2	item00099	3982	2
35	3	item00060	5055	4
35	4	item00209	3988	1
35	5	item00005	6088	1
35	6	item00237	7338	6
35	7	item00070	6277	3
36	1	item00049	7138	1
36	2	item00140	7138	2
36	3	item00048	6088	4
36	4	item00012	6488	3
36	5	item00251	3794	9
36	6	item00024	5798	7
36	7	item00267	6082	4
37	1	item00216	5038	1
37	2	item00255	7134	2
37	3	item00002	5798	8
37	4	item00047	5038	6
37	5	item00046	6088	3
37	6	item00240	6089	5
37	7	item00250	6084	1
37	8	item00223	7791	7
38	1	item00046	6088	8
38	2	item00255	7134	1
38	3	item00190	6088	3
38	4	item00035	3900	1
38	5	item00031	6088	1
38	6	item00152	6277	9
38	7	item00264	7332	1
39	1	item00026	6088	4
39	2	item00031	6088	9
39	3	item00029	6088	4
39	4	item00198	6088	3
39	5	item00079	5038	3
39	6	item00217	6081	1
40	1	item00051	6088	9
40	2	item00096	6088	8
40	3	item00076	6088	1
40	4	item00028	6766	4
40	5	item00099	3982	6
40	6	item00185	5038	1
40	7	item00090	6082	6
40	8	item00031	6088	7
41	1	item00195	6088	3
41	2	item00199	2098	5
41	3	item00265	5792	7
41	4	item00242	7974	1
41	5	item00104	6088	3
41	6	item00106	5038	9
41	7	item00071	5038	7
42	1	item00027	6798	1
42	2	item00269	5032	4
42	3	item00206	7138	5
42	4	item00172	6088	2
42	5	item00216	5038	4
43	1	item00077	6111	1
43	2	item00153	5038	5
43	3	item00132	6088	1
43	4	item00104	6088	1
43	5	item00171	7138	2
43	6	item00241	7135	4
44	1	item00022	7100	2
44	2	item00124	5983	2
44	3	item00051	6088	1
44	4	item00054	6798	1
44	5	item00014	6088	3
44	6	item00149	5498	5
44	7	item00078	7978	2
44	8	item00122	5798	3
45	1	item00221	5038	4
46	1	item00061	3988	3
46	2	item00109	7138	6
47	1	item00203	5798	9
47	2	item00298	3791	2
47	3	item00051	6088	4
47	4	item00255	7134	1
47	5	item00060	5055	1
47	6	item00249	4294	5
48	1	item00083	6088	1
49	1	item00291	5972	1
49	2	item00245	7974	1
49	3	item00234	4798	1
49	4	item00175	5038	7
49	5	item00020	6088	5
49	6	item00263	6082	3
50	1	item00098	5038	8
51	1	item00008	6088	4
51	2	item00273	5032	4
52	1	item00255	7134	4
52	2	item00034	6088	5
52	3	item00249	4294	1
52	4	item00167	3988	5
52	5	item00107	6798	1
52	6	item00274	6082	2
52	7	item00083	6088	1
52	8	item00021	6088	4
53	1	item00155	3988	3
53	2	item00148	6798	5
53	3	item00088	8602	9
54	1	item00088	8602	4
54	2	item00296	7132	9
54	3	item00264	7332	3
54	4	item00184	5978	7
54	5	item00188	6088	1
54	6	item00047	5038	3
54	7	item00131	7138	3
54	8	item00153	5038	7
55	1	item00095	8798	8
55	2	item00297	7131	5
55	3	item00114	6084	4
55	4	item00142	2938	2
55	5	item00293	4972	4
55	6	item00252	4184	4
55	7	item00262	3792	5
55	8	item00237	7338	1
56	1	item00044	7138	5
56	2	item00055	7327	3
56	3	item00270	7132	2
56	4	item00030	5798	6
56	5	item00037	5038	4
57	1	item00179	3988	2
57	2	item00267	6082	5
57	3	item00198	6088	6
57	4	item00219	6000	9
57	5	item00053	5798	3
57	6	item00135	7138	7
57	7	item00228	5034	7
57	8	item00260	5792	2
58	1	item00067	6089	4
59	1	item00234	4798	4
59	2	item00034	6088	2
59	3	item00149	5498	3
59	4	item00268	3792	7
59	5	item00203	5798	6
59	6	item00296	7132	2
59	7	item00256	9234	5
60	1	item00010	6088	6
60	2	item00007	7138	8
60	3	item00072	6088	3
60	4	item00214	7138	3
60	5	item00188	6088	5
60	6	item00155	3988	8
60	7	item00175	5038	1
61	1	item00080	6277	3
62	1	item00093	6798	2
63	1	item00151	5038	8
63	2	item00162	3798	2
63	3	item00107	6798	7
64	1	item00262	3792	7
64	2	item00156	6088	5
64	3	item00282	4794	3
64	4	item00073	6088	8
65	1	item00269	5032	3
66	1	item00054	6798	3
66	2	item00045	7138	9
66	3	item00154	6088	1
67	1	item00288	6082	8
68	1	item00257	7134	1
68	2	item00207	6088	1
68	3	item00128	6798	8
68	4	item00268	3792	9
68	5	item00292	4972	4
68	6	item00031	6088	3
68	7	item00169	7138	1
68	8	item00094	6082	2
68	9	item00037	5038	1
69	1	item00193	5227	2
69	2	item00166	6088	9
70	1	item00208	6088	5
70	2	item00083	6088	5
70	3	item00106	5038	4
70	4	item00270	7132	3
71	1	item00022	7100	6
71	2	item00082	2938	1
71	3	item00293	4972	1
71	4	item00130	5498	1
71	5	item00029	6088	6
72	1	item00181	6088	6
72	2	item00100	5033	9
72	3	item00095	8798	2
73	1	item00044	7138	6
74	1	item00287	5232	1
74	2	item00229	3982	7
74	3	item00001	4798	9
74	4	item00117	6081	1
